"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ANKRD28",0.10378743603856,0.283926288081145,0.378,0.348,1,"ANKRD28"
"PSMB1",0.105857113205166,0.387731816702736,0.318,0.284,1,"PSMB1"
"JTB",0.109185244088566,-0.252327557027381,0.243,0.302,1,"JTB"
"CLIC1",0.109325257241299,-0.256273018937905,0.462,0.534,1,"CLIC1"
"GBP2",0.114482264673103,0.412482162521001,0.279,0.25,1,"GBP2"
"PCSK7",0.124153487582815,0.269582792964455,0.256,0.213,1,"PCSK7"
"AAK1",0.131175479354991,0.340485590063718,0.343,0.313,1,"AAK1"
"CD247",0.13347175798265,-0.254506841425286,0.245,0.31,1,"CD247"
"FYB",0.1368882389859,-0.253306182250946,0.485,0.563,1,"FYB"
"SRSF11",0.144430069849167,0.413416246623418,0.309,0.287,1,"SRSF11"
"PSMA2.1",0.146401986290133,-0.267979056836256,0.238,0.296,1,"PSMA2.1"
"FAM49B",0.148931742044873,0.423899150170467,0.277,0.256,1,"FAM49B"
"PBXIP1",0.153809050836646,0.28382230708801,0.352,0.322,1,"PBXIP1"
"GPR171",0.158542626545384,0.313931431452485,0.38,0.356,1,"GPR171"
"POMP",0.16058389447233,0.26558317839417,0.302,0.273,1,"POMP"
"PRR13",0.170699762263782,-0.255433587167394,0.325,0.382,1,"PRR13"
"TNFAIP8",0.17293115092392,0.284195184536618,0.366,0.342,1,"TNFAIP8"
"RBM8A",0.177423364902143,0.284961655881689,0.339,0.313,1,"RBM8A"
"KDM6B",0.178175817590759,-0.398100011737696,0.222,0.27,1,"KDM6B"
"LBH",0.183922204888129,-0.269575358603249,0.217,0.264,1,"LBH"
"SUMO1",0.188483576342864,0.261354609140358,0.359,0.336,1,"SUMO1"
"N4BP2L2",0.191044377265162,0.254346502889506,0.483,0.468,1,"N4BP2L2"
"HLA-F",0.195369275882194,-0.293407780956972,0.254,0.299,1,"HLA-F"
"PTGER2",0.204112124899854,0.33658407290308,0.272,0.244,1,"PTGER2"
"SEC62",0.204523329917043,0.251687445927954,0.364,0.353,1,"SEC62"
"DDX17",0.205433563455399,0.305884793426224,0.286,0.259,1,"DDX17"
"ACTR2",0.206354895342952,0.268708257867864,0.286,0.256,1,"ACTR2"
"KMT2E",0.225329608701282,0.265664172100668,0.444,0.443,1,"KMT2E"
"XBP1",0.238421744951496,-0.275598590030831,0.249,0.299,1,"XBP1"
"MT-ND4L",0.240148049997375,0.295669003221288,0.35,0.336,1,"MT-ND4L"
"CSTB",0.243824287638368,0.313663148684962,0.323,0.305,1,"CSTB"
"RNF19A",0.249083743872604,0.340855225076757,0.268,0.244,1,"RNF19A"
"RPL22L1",0.25198873668489,0.359421258667441,0.254,0.233,1,"RPL22L1"
"TLE4",0.277134428129351,0.286842293936782,0.256,0.236,1,"TLE4"
"CLDND1",0.297260356257616,0.276469138398976,0.275,0.259,1,"CLDND1"
"SEC61G",0.300699277287765,0.251531666340437,0.368,0.368,1,"SEC61G"
"LY6E",0.30588669288248,0.308925467962716,0.391,0.394,1,"LY6E"
"SCAF11",0.425498401440168,0.250400597639393,0.281,0.273,1,"SCAF11"
"SH3BGRL",0.431680649652454,0.387078452148305,0.284,0.282,1,"SH3BGRL"
"YWHAB",0.44469510112411,0.267857237797189,0.371,0.385,1,"YWHAB"
